"t","c"
"2009-01-01 00:00:00","658096"
"2009-01-02 00:00:00","753422"
"2009-01-03 00:00:00","865420"
"2009-01-04 00:00:00","735052"
"2009-01-05 00:00:00","741804"
"2009-01-06 00:00:00","854788"
"2009-01-07 00:00:00","742086"
"2009-01-08 00:00:00","955004"
"2009-01-09 00:00:00","1041692"
"2009-01-10 00:00:00","966700"
"2009-01-11 00:00:00","810150"
"2009-01-12 00:00:00","829284"
"2009-01-13 00:00:00","885086"
"2009-01-14 00:00:00","978354"
"2009-01-15 00:00:00","972900"
"2009-01-16 00:00:00","1070400"
"2009-01-17 00:00:00","1022046"
"2009-01-18 00:00:00","839924"
"2009-01-19 00:00:00","705068"
"2009-01-20 00:00:00","867278"
"2009-01-21 00:00:00","956536"
"2009-01-22 00:00:00","996482"
"2009-01-23 00:00:00","1038788"
"2009-01-24 00:00:00","1095182"
"2009-01-25 00:00:00","921446"
"2009-01-26 00:00:00","868162"
"2009-01-27 00:00:00","943576"
"2009-01-28 00:00:00","910374"
"2009-01-29 00:00:00","1006704"
"2009-01-30 00:00:00","1076730"
"2009-01-31 00:00:00","1079148"
"2009-02-01 00:00:00","859516"
"2009-02-02 00:00:00","806744"
"2009-02-03 00:00:00","904712"
"2009-02-04 00:00:00","713134"
"2009-02-05 00:00:00","1070954"
"2009-02-06 00:00:00","1093376"
"2009-02-07 00:00:00","1026626"
"2009-02-08 00:00:00","851678"
"2009-02-09 00:00:00","812396"
"2009-02-10 00:00:00","891344"
"2009-02-11 00:00:00","926426"
"2009-02-12 00:00:00","1020348"
"2009-02-13 00:00:00","1098376"
"2009-02-14 00:00:00","1079368"
"2009-02-15 00:00:00","903298"
"2009-02-16 00:00:00","782872"
"2009-02-17 00:00:00","900920"
"2009-02-18 00:00:00","975260"
"2009-02-19 00:00:00","1015436"
"2009-02-20 00:00:00","1123944"
"2009-02-21 00:00:00","1044538"
"2009-02-22 00:00:00","890542"
"2009-02-23 00:00:00","910182"
"2009-02-24 00:00:00","974238"
"2009-02-25 00:00:00","974162"
"2009-02-26 00:00:00","1001968"
"2009-02-27 00:00:00","1053000"
"2009-02-28 00:00:00","1054886"
"2009-03-01 00:00:00","863426"
"2009-03-02 00:00:00","655748"
"2009-03-03 00:00:00","945678"
"2009-03-04 00:00:00","976394"
"2009-03-05 00:00:00","855376"
"2009-03-06 00:00:00","1054108"
"2009-03-07 00:00:00","982174"
"2009-03-08 00:00:00","819822"
"2009-03-09 00:00:00","813692"
"2009-03-10 00:00:00","950648"
"2009-03-11 00:00:00","968436"
"2009-03-12 00:00:00","1058616"
"2009-03-13 00:00:00","1105196"
"2009-03-14 00:00:00","1030764"
"2009-03-15 00:00:00","836162"
"2009-03-16 00:00:00","752866"
"2009-03-17 00:00:00","922168"
"2009-03-18 00:00:00","900070"
"2009-03-19 00:00:00","993080"
"2009-03-20 00:00:00","1041196"
"2009-03-21 00:00:00","1002990"
"2009-03-22 00:00:00","836330"
"2009-03-23 00:00:00","839590"
"2009-03-24 00:00:00","909108"
"2009-03-25 00:00:00","940228"
"2009-03-26 00:00:00","1030622"
"2009-03-27 00:00:00","1029232"
"2009-03-28 00:00:00","1027150"
"2009-03-29 00:00:00","857778"
"2009-03-30 00:00:00","854626"
"2009-03-31 00:00:00","921468"
"2009-04-01 00:00:00","774726"
"2009-04-02 00:00:00","992206"
"2009-04-03 00:00:00","1079746"
"2009-04-04 00:00:00","1069200"
"2009-04-05 00:00:00","882392"
"2009-04-06 00:00:00","892076"
"2009-04-07 00:00:00","980906"
"2009-04-08 00:00:00","972386"
"2009-04-09 00:00:00","952904"
"2009-04-10 00:00:00","951746"
"2009-04-11 00:00:00","975588"
"2009-04-12 00:00:00","812440"
"2009-04-13 00:00:00","830138"
"2009-04-14 00:00:00","964328"
"2009-04-15 00:00:00","987076"
